Airport Name,Year,City,Airport ID,Measure,Value
Memphis International,2000,Memphis,MEM,All-cargo operations landed weight (thousands of short tons),"6,318"
Ted Stevens Anchorage International,2000,Anchorage,ANC,All-cargo operations landed weight (thousands of short tons),"8,084"
Louisville Muhammad Ali International,2000,Louisville,SDF,All-cargo operations landed weight (thousands of short tons),"3,987"
Miami International,2000,Miami,MIA,All-cargo operations landed weight (thousands of short tons),"2,929"
Los Angeles International,2000,Los Angeles,LAX,All-cargo operations landed weight (thousands of short tons),"2,892"
Cincinnati/Northern Kentucky International,2000,Cincinnati,CVG,All-cargo operations landed weight (thousands of short tons),912
Chicago O'Hare International,2000,Chicago,ORD,All-cargo operations landed weight (thousands of short tons),"2,062"
Indianapolis International,2000,Indianapolis,IND,All-cargo operations landed weight (thousands of short tons),"2,884"
Dallas-Fort Worth International,2000,Fort Worth,DFW,All-cargo operations landed weight (thousands of short tons),"1,691"
Ontario International,2000,Ontario,ONT,All-cargo operations landed weight (thousands of short tons),"1,220"
Metropolitan Oakland International,2000,Oakland,OAK,All-cargo operations landed weight (thousands of short tons),"1,811"
John F Kennedy International,2000,New York,JFK,All-cargo operations landed weight (thousands of short tons),"2,793"
Hartsfield - Jackson Atlanta International,2000,Atlanta,ATL,All-cargo operations landed weight (thousands of short tons),"1,090"
Newark Liberty International,2000,Newark,EWR,All-cargo operations landed weight (thousands of short tons),"1,961"
Daniel K Inouye International,2000,Honolulu,HNL,All-cargo operations landed weight (thousands of short tons),692
Seattle-Tacoma International,2000,Seattle,SEA,All-cargo operations landed weight (thousands of short tons),"1,060"
Philadelphia International,2000,Philadelphia,PHL,All-cargo operations landed weight (thousands of short tons),"1,454"
George Bush Intercontinental/Houston,2000,Houston,IAH,All-cargo operations landed weight (thousands of short tons),480
Chicago/Rockford International,2000,Rockford,RFD,All-cargo operations landed weight (thousands of short tons),654
Phoenix Sky Harbor International,2000,Phoenix,PHX,All-cargo operations landed weight (thousands of short tons),920
Portland International,2000,Portland,PDX,All-cargo operations landed weight (thousands of short tons),882
Denver International,2000,Denver,DEN,All-cargo operations landed weight (thousands of short tons),900
Tampa International,2000,Tampa,TPA,All-cargo operations landed weight (thousands of short tons),228
Luis Munoz Marin International,2000,San Juan,SJU,All-cargo operations landed weight (thousands of short tons),485
Baltimore/Washington International Thurgood Marshall,2000,Glen Burnie,BWI,All-cargo operations landed weight (thousands of short tons),305
Rickenbacker International,2000,Columbus,LCK,All-cargo operations landed weight (thousands of short tons),310
Salt Lake City International,2000,Salt Lake City,SLC,All-cargo operations landed weight (thousands of short tons),751
Minneapolis-St Paul International/Wold-Chamberlain,2000,Minneapolis,MSP,All-cargo operations landed weight (thousands of short tons),622
San Francisco International,2000,San Francisco,SFO,All-cargo operations landed weight (thousands of short tons),"1,267"
Orlando International,2000,Orlando,MCO,All-cargo operations landed weight (thousands of short tons),672
General Edward Lawrence Logan International,2000,Boston,BOS,All-cargo operations landed weight (thousands of short tons),703
Bradley International,2000,Windsor Locks,BDL,All-cargo operations landed weight (thousands of short tons),510
San Antonio International,2000,San Antonio,SAT,All-cargo operations landed weight (thousands of short tons),326
Fort Worth Alliance,2000,Fort Worth,AFW,All-cargo operations landed weight (thousands of short tons),508
Detroit Metropolitan Wayne County,2000,Detroit,DTW,All-cargo operations landed weight (thousands of short tons),389
Boeing Field/King County International,2000,Seattle,BFI,All-cargo operations landed weight (thousands of short tons),428
El Paso International,2000,El Paso,ELP,All-cargo operations landed weight (thousands of short tons),319
Piedmont Triad International,2000,Greensboro,GSO,All-cargo operations landed weight (thousands of short tons),276
Laredo International,2000,Laredo,LRD,All-cargo operations landed weight (thousands of short tons),218
Charlotte/Douglas International,2000,Charlotte,CLT,All-cargo operations landed weight (thousands of short tons),467
General Mitchell International,2000,Milwaukee,MKE,All-cargo operations landed weight (thousands of short tons),297
San Diego International,2000,San Diego,SAN,All-cargo operations landed weight (thousands of short tons),354
Kansas City International,2000,Kansas City,MCI,All-cargo operations landed weight (thousands of short tons),453
Pittsburgh International,2000,Pittsburgh,PIT,All-cargo operations landed weight (thousands of short tons),240
Albuquerque International Sunport,2000,Albuquerque,ABQ,All-cargo operations landed weight (thousands of short tons),326
Sacramento Mather,2000,Sacramento,MHR,All-cargo operations landed weight (thousands of short tons),548
Reno/Tahoe International,2000,Reno,RNO,All-cargo operations landed weight (thousands of short tons),193
Manchester,2000,Manchester,MHT,All-cargo operations landed weight (thousands of short tons),240
Austin-Bergstrom International,2000,Austin,AUS,All-cargo operations landed weight (thousands of short tons),491
Richmond International,2000,Highland Springs,RIC,All-cargo operations landed weight (thousands of short tons),317
Raleigh-Durham International,2000,Raleigh,RDU,All-cargo operations landed weight (thousands of short tons),328
Rafael Hernandez,2000,Aguadilla,BQN,All-cargo operations landed weight (thousands of short tons),342
